naimubanchunxiangdemimi	乃木阪春香的秘密
nanjiasanjiemei	南家三姐妹
panduolazhixin	潘多拉之心
qijihuoche	奇迹火车
qingshengmiyu	轻声密语
qingyin	轻音
quanyechawanjiepian	犬夜叉完结篇
senlindadi	森林大帝
shaoniantupo	少年突破
shenquzoujie	神曲奏界
shengjishiwuyu	圣机师物语
shengjianzhidaoduanye	圣剑之刀锻冶
shengmuzaishang	圣母在上
shiji	尸姬
shouzhizouzhe	兽之奏者
siyeyouxi	四叶游戏
tiyalazhilei	提亚拉之泪
tianguoshaonv	天国少女
tianshitejingxinpianzhang	天使特警新篇章
tiantangcanguan	天堂餐馆
tiantizhanshi	天体战士
tiantiansifangmao	甜甜私房猫
tiewannvxingjing	铁腕女刑警
wangzuodejichengzhe	王座的继承者
xiazhilan	夏之岚
xianggelila	香格里拉
xiaojiu	小鸠
xiudoumodaoshi	秀逗魔导士
xuanfengguanjia	旋风管家
xueshenghuideyicun	学生会的一存
yaojingdeweiba	妖精的尾巴
yishuximeishushejiban	艺术系美术设计班
youhun	游魂
yuansulieren	元素猎人
yuanshiwuyuqiannianji	源氏物语千年纪
zhandousishu	战斗司书
zhenlianjiwushuang	真恋姬无双
zhenmoshen	真魔神
balipian	巴黎篇
baihu	白虎
bojueyuyaojing	伯爵与妖精
chaoshikongyaosai	超时空要塞
chishadeyinji	赤沙的印记
chunqingluomanshi	纯情罗曼史
diyushaonvsanding	地狱少女三鼎
ezuojuzhiwen	恶作剧之吻
feixingyishengjinjijiuyuan	飞行医生紧急救援
gangtiexinniang	钢铁新娘
huanyingshaonian	幻影少年
huimieshijiedeliuren	毁灭世界的六人
jixiehuashaonv	机械化少女
jueduikelianxiaohai	绝对可怜小孩
juewangxiansheng	绝望先生
langhexiangxinliao	狼和香辛料
lianjiwushuang	恋姫无双
longhudou	龙虎斗
mengxue	萌学
mofashidezhuyishixiang	魔法使的注意事项
mofaxueyuan	魔法学园
nishizhurenwoshipu	你是主人我是仆
pannideluluxiu	叛逆的鲁鲁修
potianhuangyouxi	破天荒游戏
qieniang	企鹅娘
quanlitu	全力兔
ranhongdepodao	染红的坡道
sanmeijidelunwu	三美姬的轮舞
shenyuanchuanshuo	深渊传说
shenqiangshaonv	神枪少女
shenti	神薙
shijihe	尸姬赫
shizijiayuxixuegui	十字架与吸血鬼
shijiehuimie	世界毁灭
shihunshi	噬魂师
shuixinglinghangyuan	水星领航员
sihouwen	死后文
taitanniya	泰坦尼亚
teyousheng	特优生
wanmingyouxi	玩命游戏
wojiayougehuxiandaren	我家有个狐仙大人
wuxianzhizhuren	无限之住人
wuzhuangjijia	武装机甲
xiyanggudongyangguozidian	西洋古董洋果子店
xixueguiqishi	吸血鬼骑士
xiaridetiankong	夏日的天空
xiangyangdexieshenghua	向阳的写生画
yeyingsichongzou	夜樱四重奏
